saas.sin.fan:443#▼ 優選IPv4 | 08-21 00:23 | Cloudflare EDT
8.134.220.58:8443#CN [优选高速 66.98ms 9.66Mbps]
178.22.26.117:443#DE [优选高速 147.65ms 9.41Mbps]
45.80.188.163:443#DE [优选高速 159.91ms 10.74Mbps]
45.147.48.115:2053#DE [优选高速 169.78ms 10.07Mbps]
188.95.70.156:443#DE [优选高速 172.85ms 8.29Mbps]
185.248.86.213:443#GB [优选高速 169.35ms 10.09Mbps]
91.110.174.202:8443#HK [优选高速 50.39ms 23.78Mbps]
91.110.174.201:8443#HK [优选高速 60.29ms 19.86Mbps]
91.213.186.189:443#HK [优选高速 63.88ms 12.74Mbps]
87.76.198.228:443#JP [优选高速 75.58ms 8.16Mbps]
43.153.152.106:443#JP [优选高速 78.39ms 12.54Mbps]
54.248.15.203:443#JP [优选高速 81.14ms 9.16Mbps]
15.165.9.110:443#KR [优选高速 60.63ms 13.32Mbps]
15.165.37.107:443#KR [优选高速 61.32ms 13.09Mbps]
13.209.99.217:443#KR [优选高速 64.91ms 13.85Mbps]
54.180.147.65:443#KR [优选高速 66.81ms 13.38Mbps]
162.211.231.120:443#NL [优选高速 167.17ms 8.57Mbps]
162.211.230.89:2053#NL [优选高速 168.14ms 8.32Mbps]
157.245.56.32:443#SG [优选高速 93.34ms 9.38Mbps]
64.186.229.181:443#US [优选高速 161.3ms 8.13Mbps]
154.9.227.100:443#US [优选高速 161.92ms 8.16Mbps]
172.233.44.161:443#NL [187.04ms 0.06Mbps]
162.211.228.47:443#NL [187.19ms 7.77Mbps]
178.173.250.118:8443#NL [192.37ms 0.24Mbps]
158.173.195.216:443#NL [192.3ms 0.19Mbps]
222.167.217.239:8443#NL [193.7ms 0.51Mbps]
158.101.216.230:443#NL [195.84ms 0.21Mbps]
158.180.12.117:443#NL [196.91ms 0.27Mbps]
159.195.140.216:443#NL [197.33ms 0.87Mbps]
157.230.32.24:443#SG [90.55ms 0.46Mbps]
206.189.151.133:443#SG [91.17ms 0.35Mbps]
209.97.171.87:443#SG [92.2ms 0.52Mbps]
159.89.199.63:443#SG [92.35ms 7.53Mbps]
178.128.22.247:443#SG [94.32ms 0.44Mbps]
178.128.114.149:443#SG [94.53ms 0.45Mbps]
157.245.159.88:443#SG [94.91ms 0.44Mbps]
165.245.144.113:443#SG [95.02ms 5.85Mbps]
167.172.90.175:443#SG [95.35ms 0.49Mbps]
179.255.116.68:443#US [159.04ms 7.98Mbps]
179.255.112.233:443#US [159.37ms 6.27Mbps]
179.255.112.17:443#US [160.1ms 5.63Mbps]
179.255.108.176:443#US [160.59ms 6.24Mbps]
179.255.116.71:443#US [161.23ms 7.4Mbps]
154.21.81.252:443#US [161.69ms 6.06Mbps]
154.17.22.175:443#US [162.06ms 6.61Mbps]
185.65.151.81:443#US [74.44ms 2.35Mbps]
bestcf.030101.xyz:443#▲ 優選IPv4 | Cloudflare EDT | 感謝svip-s
